INSERT INTO bike (type, state, brand, frame_size, price) VALUES
("Race","Used","GT","XXS","1600"),
("City","Old","Cannondale","S","1100"),
("Race","New","Cube","XS","1100"),
("Electric","Old","GT","XS","1400"),
("Electric","Old","Cannondale","XL","1000"),
("Electric","Old","Trek","L","3200"),
("Mountain","Old","Cube","XXS","1100"),
("Electric","Old","Cannondale","L","3100"),
("Electric","New","MATE","S","1500"),
("Race","New","Cube","XXS","3000"),
("Mountain","Old","MATE","S","15000"),
("Mountain","Used","Cube","M","1000"),
("Race","New","GT","XXS","1000"),
("Mountain","Used","Raleigh","L","3200"),
("Race","Old","Cannondale","XS","1300"),
("Mountain","Used","Cube","XL","2000"),
("City","Used","Raleigh","L","2000"),
("Mountain","New","Trek","M","1000"),
("Mountain","Used","GT","S","2000"),
("Race","Used","Cube","XXS","1000"),
("Electric","Used","GT","L","2700"),
("Electric","Old","Scot","XXL","2000"),
("Race","Old","Scot","XXS","1600"),
("Electric","New","Scot","XXS","1100"),
("Mountain","New","Raleigh","XXL","2100"),
("City","New","Cube","XXL","2800"),
("Race","Used","MATE","XXS","1500"),
("Electric","New","Scot","XS","2800"),
("Race","Old","MATE","XS","1600"),
("Race","Used","Cube","XXL","1600"),
("City","New","Cube","XL","2700"),
("Mountain","New","MATE","M","3000"),
("Mountain","New","Trek","XS","2000"),
("Race","Old","GT","XXL","2800"),
("Race","New","Cannondale","XS","2800"),
("Electric","Used","GT","S","3000"),
("Mountain","Used","Trek","S","1000"),
("City","Old","GT","XXS","1100"),
("City","New","Cube","XL","3200"),
("Electric","Used","MATE","XL","1400"),
("Electric","New","Scot","M","1300"),
("Race","Used","Raleigh","XL","1500"),
("City","Old","Cannondale","L","2800"),
("Mountain","Used","GT","XS","2800"),
("Race","New","MATE","XS","1000"),
("City","New","Scot","S","1500"),
("Mountain","Old","Cannondale","XXS","1600"),
("Electric","Old","Cannondale","XL","1100"),
("Race","New","Trek","XL","15000"),
("Race","Used","GT","XL","1400"),
("City","Old","Cannondale","M","1100"),
("Mountain","Used","Cannondale","XXL","15000"),
("Electric","Old","Cube","L","2700"),
("Mountain","Used","Raleigh","XS","3100"),
("Electric","Used","Raleigh","S","1200"),
("Mountain","New","Scot","XXL","1600"),
("City","Used","MATE","XS","1400"),
("Mountain","Used","Trek","M","15000"),
("City","New","Cannondale","M","2800"),
("Mountain","New","Cube","XXS","1600"),
("Electric","New","Scot","XS","1200"),
("Electric","Old","Raleigh","S","1300"),
("Mountain","New","MATE","XL","15000"),
("Mountain","Used","Scot","XL","3100"),
("Race","New","Trek","S","5000"),
("Mountain","New","Cannondale","L","1500"),
("Mountain","Used","Raleigh","XXS","1300"),
("Electric","Old","Cube","XXL","10000"),
("City","Used","Cube","XXS","2800"),
("City","Used","MATE","XL","3100"),
("Electric","Old","Cube","XL","1500"),
("Race","Used","MATE","XS","15000"),
("Race","Old","GT","M","3100"),
("City","Used","Cube","XL","3000"),
("City","Old","MATE","L","10000"),
("Race","Used","MATE","XXL","2800"),
("Race","Old","Scot","L","1500"),
("Race","Old","Cube","XS","1200"),
("Mountain","New","Cannondale","M","1000"),
("Race","Used","GT","XXL","2800"),
("Race","New","Trek","L","3000"),
("Race","Old","Raleigh","XXL","1300"),
("Race","Old","Cube","XXS","1100"),
("Mountain","Old","Cannondale","M","2100"),
("Race","Old","MATE","M","10000"),
("Electric","New","Scot","XL","2100"),
("City","Old","MATE","L","3000"),
("Mountain","Used","Scot","XXL","3000"),
("Race","Old","Trek","XL","1600"),
("Mountain","Old","Scot","XXL","1400"),
("Electric","New","Trek","XXL","3100"),
("Mountain","Used","Cube","XXL","2100"),
("Electric","Used","GT","M","2800"),
("Electric","Used","MATE","XS","10000"),
("Mountain","Used","Scot","XXS","3100"),
("Race","New","GT","XL","1200"),
("Race","Used","Raleigh","L","3100"),
("Electric","Used","Raleigh","XXS","1500"),
("Mountain","New","GT","XXS","2700"),
("Mountain","Old","MATE","XXL","5000"),
("Mountain","Old","Scot","XXS","1300"),
("Mountain","Used","Raleigh","XXS","3200"),
("City","Used","GT","M","1500"),
("City","Used","Raleigh","M","1600"),
("Electric","Old","MATE","XL","10000"),
("City","Old","Cube","M","2000"),
("Race","Used","Scot","XL","3100"),
("City","New","Cannondale","XXL","1200"),
("Electric","Old","Cube","XS","1400"),
("City","Used","Scot","L","1500"),
("Race","New","MATE","S","2800"),
("Mountain","Used","Cube","XXS","10000"),
("Mountain","Old","Cube","M","10000"),
("Race","Old","Raleigh","XXL","2700"),
("Electric","Old","Raleigh","XS","1200"),
("Mountain","New","GT","XXL","5000"),
("Race","Old","Trek","S","1600"),
("Electric","Used","MATE","XXL","1100"),
("Race","Old","Trek","XXS","1500"),
("Mountain","Used","Scot","M","1600"),
("City","New","GT","L","1500"),
("Mountain","Used","Scot","XXS","2000"),
("Electric","Used","GT","XL","15000"),
("Electric","Old","Cube","XL","1000"),
("Mountain","Old","GT","XL","1400"),
("Electric","Used","Raleigh","XS","5000"),
("Mountain","New","GT","L","1600"),
("Mountain","Used","Scot","XXL","1000"),
("Race","Used","GT","XS","2800"),
("Mountain","Old","MATE","L","3100"),
("Mountain","Used","Trek","M","1500"),
("Race","Old","Cube","S","5000"),
("City","New","GT","XL","1100"),
("Race","New","Cube","XXS","1200"),
("City","Old","Raleigh","XXL","1300"),
("City","Old","Trek","XXS","3100"),
("City","Used","Cube","S","3200"),
("Mountain","New","Cube","S","2000"),
("Mountain","Used","Trek","XL","2100"),
("Race","New","Cannondale","L","2000"),
("Electric","New","Raleigh","XS","5000"),
("Mountain","New","GT","L","2000"),
("Race","New","Trek","S","1000"),
("Electric","Old","Cannondale","XXS","15000"),
("Mountain","New","GT","XS","1200"),
("City","Used","Cube","S","3100"),
("Race","New","Cube","XS","2800"),
("City","Used","GT","XS","15000"),
("City","Used","Cube","M","1100"),
("Mountain","Used","Trek","L","1300"),
("City","Old","Cannondale","XS","1200"),
("Race","Used","Trek","M","1400"),
("Mountain","New","Scot","XS","2000"),
("Electric","Used","Cannondale","XXS","5000"),
("City","Used","Scot","XS","1000"),
("Electric","New","Raleigh","S","1400"),
("City","Used","Cube","S","1400"),
("Electric","New","MATE","XXS","1000"),
("Race","New","Scot","M","15000"),
("City","Used","Cannondale","XS","1200"),
("City","Used","Cube","XXL","15000"),
("Mountain","New","MATE","XL","15000"),
("Race","Used","Cannondale","XXS","1200"),
("Electric","New","Cannondale","XXS","1600"),
("Race","Used","Cube","XXS","2800"),
("Electric","Used","GT","XXS","2100"),
("City","Used","Cannondale","XL","3000"),
("City","New","Cube","XL","1100"),
("Mountain","Old","Cube","XXS","3200"),
("Electric","Used","Cannondale","XXS","1600"),
("Mountain","Used","GT","XXL","10000"),
("Mountain","New","GT","XXS","2800"),
("Electric","New","Raleigh","XXS","1600"),
("City","Used","Raleigh","S","1500"),
("Electric","Old","Cannondale","S","3100"),
("Mountain","Old","MATE","L","10000"),
("Electric","New","Cube","XXS","15000"),
("Electric","New","MATE","S","1600"),
("Mountain","Old","Cannondale","XXL","2000"),
("Mountain","New","GT","L","3200"),
("Race","Old","Cube","M","10000"),
("Mountain","Old","Cube","XXS","1400"),
("Mountain","Old","Cannondale","XXL","1400"),
("Race","New","GT","L","2000"),
("Mountain","New","Scot","M","15000"),
("City","Old","MATE","L","3000"),
("Mountain","Used","Trek","M","1600"),
("City","Old","Trek","M","2100"),
("Mountain","Used","MATE","XXS","1500"),
("Race","Old","GT","XXS","2800"),
("Race","Old","Raleigh","XXS","1000"),
("Race","Old","Cannondale","XXS","15000"),
("Mountain","New","Cannondale","L","2700"),
("Mountain","Used","GT","S","3000"),
("City","Old","GT","XS","1400"),
("City","Old","Cannondale","M","3000"),
("Mountain","Used","MATE","S","2700"),
("City","Old","MATE","XXS","3100"),
("City","Used","MATE","XXL","1300"),
("Race","Old","Scot","XS","2800"),
("Electric","Used","MATE","L","3000"),
("Race","New","GT","XL","1200"),
("Mountain","New","Trek","XXL","3200"),
("City","Used","Cannondale","XS","3100"),
("Electric","Used","GT","S","1200"),
("City","Old","Raleigh","L","10000"),
("Mountain","Old","Raleigh","S","15000"),
("Race","Old","GT","XS","1300"),
("City","Used","Raleigh","M","1300"),
("Mountain","New","GT","XXL","1200"),
("City","Used","GT","L","1000"),
("Mountain","Old","Cannondale","XL","1000"),
("Mountain","Used","GT","XL","2800"),
("Electric","Old","Cube","M","1100"),
("Race","Used","Trek","XL","2100"),
("Electric","New","Raleigh","S","2800"),
("Mountain","New","Cannondale","XS","1600"),
("City","New","Cannondale","S","3000"),
("City","Old","Trek","XL","15000"),
("Mountain","Old","Scot","XXS","15000"),
("Electric","Used","Raleigh","XL","2000"),
("Mountain","New","Cannondale","XXL","1000"),
("City","Used","Cube","L","15000"),
("City","New","Trek","XL","2000"),
("City","New","MATE","M","1400"),
("City","Used","Cube","XL","2000"),
("Race","New","Scot","XXL","1200"),
("City","Used","Trek","S","10000"),
("Mountain","New","Cube","XXS","3000"),
("City","New","Raleigh","XXL","15000"),
("City","Old","MATE","XS","3000"),
("Electric","Used","Cube","L","2800"),
("City","Used","Trek","M","1300"),
("Mountain","Used","Cannondale","XS","2100"),
("City","Used","Cube","L","3200"),
("Race","Old","Scot","XXL","15000"),
("Mountain","Old","Cube","S","3200"),
("Electric","Old","Raleigh","S","2000"),
("Mountain","Old","Scot","XXS","2800"),
("Race","Used","Cube","XL","2000"),
("Mountain","Used","Cube","XXS","1400"),
("City","Used","MATE","M","2100"),
("Electric","Old","GT","XL","3100"),
("Mountain","Used","Cannondale","XXL","1300"),
("Race","Used","Trek","XS","3200"),
("City","New","Cube","L","1400"),
("Mountain","New","Scot","XL","1500"),
("Electric","Old","Cube","XXL","1000"),
("Electric","New","Trek","L","1600"),
("Mountain","Used","GT","XXS","2000"),
("Mountain","Old","Cannondale","XS","3000"),
("Electric","New","Raleigh","M","1200"),
("Mountain","New","Trek","L","1400"),
("Electric","Old","Trek","XXL","10000"),
("City","New","Trek","XXS","1400"),
("Race","Used","Cannondale","L","10000"),
("City","Used","Raleigh","XS","3100"),
("City","Used","MATE","XS","1600"),
("Race","Used","Cube","L","2000"),
("Electric","Used","MATE","XS","2800"),
("City","Used","Scot","S","1000"),
("Race","Old","Scot","XXS","1200"),
("City","Used","Raleigh","XL","2000"),
("Race","Old","Scot","S","5000"),
("City","Old","Scot","XL","1500"),
("Mountain","New","Scot","L","1600"),
("Race","Old","GT","XXS","1300"),
("City","New","Cannondale","XL","2800"),
("City","New","Raleigh","XL","3000"),
("Electric","Used","Scot","XS","3100"),
("Electric","Old","MATE","M","10000"),
("Mountain","Used","Raleigh","XS","2800"),
("Race","New","MATE","XS","1600"),
("Race","Old","GT","XXL","1500"),
("Mountain","Old","Trek","M","2700"),
("City","New","Scot","XS","2100"),
("City","Old","Cannondale","XXL","3200"),
("Electric","Used","Scot","XXS","1100"),
("Mountain","Used","Cannondale","XL","2100"),
("Race","New","GT","XXL","5000"),
("Electric","Used","Scot","XS","3100");
